"F_PEDIDO","SERIE_PEDV","PEDIDO","CLIENTE","NOMBRE_CLIENTE","LIN_PED","ARTICULO","DESCRIPCION_ARTICULO","CANTIDAD","PRECIO_VTA","IMPORTE_LIN"
21/01/26,"26",30,4,"ONA ELECTROEROSI�S.A.",5,"EE000005","SOPORTE NIVELADOR AISLANTE AV35",4,161,64,646,56
21/01/26,"26",30,4,"ONA ELECTROEROSI�S.A.",8,"EE000002","CONO ACHAFLANADO ANCHO",8,45,08,360,64
21/01/26,"26",30,4,"ONA ELECTROEROSI�S.A.",10,"EE000003","GU� ROZAMIENTO DE HILO",40,44,12,1764,8
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",1,"EE000011","POLEA CONDUCIDA BOCA INF.",9,39,37,354,33
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",3,"EE000012","POLEA CERAM.BOCA INFERIOR",30,60,83,1824,9
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",5,"EE000004","POLEA CER�A",6,83,36,500,16
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",7,"EE000001","TUBO INTERIOR SUPERIOR AF25",6,32,78,196,68
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",9,"EE000008","TUBO TRACTOR",6,28,95,173,7
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",11,"EE000021","SOPORTE NIVELADOR AISLANTE AV40",4,161,64,646,56
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",13,"EE000002","CONO ACHAFLANADO ANCHO",6,45,08,270,48
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",15,"EE000003","GU� ROZAMIENTO DE HILO",15,44,12,661,8
21/01/26,"26",31,4,"ONA ELECTROEROSI�S.A.",17,"EE000010","CONO SALIDA H. PRIMA-E250",15,43,46,651,9
21/01/26,"26",33,31,"IBERLABO, S.A.",2,"ML000077","KAV-120",5,36,8,184
21/01/26,"26",34,334,"HIPERBARIC S.A.",1,"HIP00030","CER CENT RESIST H02-365-17-520C pz2",1,787,6,787,6
21/01/26,"26",34,334,"HIPERBARIC S.A.",3,"HIP00031","CER SEPA RESIST H02-365-17-530C pz3",3,381,26,1143,78
21/01/26,"26",34,334,"HIPERBARIC S.A.",5,"HIP00032","CASQUILLOS GRUE H02-365-17-540C pz4",8,69,9,559,2
21/01/26,"26",34,334,"HIPERBARIC S.A.",7,"HIP00033","SPARADORES RESIST H02-365-17-570C",8,58,43,467,44
21/01/26,"26",35,495,"von KARMAN INSTITUTE FOR FLUID DYNAMICS",1,"VKI00001","PLATES 80X90X3mm ZrB2-SiC ARR2518-0",1,2500,2500
21/01/26,"26",35,495,"von KARMAN INSTITUTE FOR FLUID DYNAMICS",4,"VKI00002","DISC �9,3mm pl. ARR2518-002",3,2400,7200
22/01/26,"26",40,496,"CUSHWAY SCHMIDT Ltd",1,"WP000800","GES GFBB-GA1-TR2-M-02-HOOD-MAN-U013",2,375,750
22/01/26,"26",40,496,"CUSHWAY SCHMIDT Ltd",4,"WP000801","GES GFBB-GA1-TR2-M-02-HOOD-MAN-U014",2,375,750
23/01/26,"26",1,33,"FRESATIT�.L.",2,"ML000007","BAD-110",1,120,61,120,61
23/01/26,"26",37,491,"BOSCO TECNOINDUSTRIA S. L.",1,"WP000760","BOSCO TECNO PIN B241204161-A",20,70,61,1412,2
23/01/26,"26",38,164,"T. M. NORMA, S.A.",1,"CI000007","A10U119 TOPE DELANT TRAE 18074 V2",2,73,86,147,72
23/01/26,"26",39,112,"GESTAMP NAVARRA, S.A.",1,"WP000113","GESTAMP NAVARRA WJSO0100010",20,59,97,1199,4
23/01/26,"26",39,112,"GESTAMP NAVARRA, S.A.",4,"WP000101","GESTAMP NAVARRA WJSO0100149",20,69,35,1387
23/01/26,"26",41,451,"AUBERT & DUVAL, S.A.",1,"AUB00001","CU� CER�AS 30X20mm S/PLANO",6,137,59,825,54
23/01/26,"26",41,451,"AUBERT & DUVAL, S.A.",4,"AUB00002","CU� CER�AS 15X20mm S/PLANO",6,128,5,771
23/01/26,"26",41,451,"AUBERT & DUVAL, S.A.",7,"AUB00003","CU� CER�AS 10X20mm S/PLANO",6,103,35,620,1
23/01/26,"26",42,59,"KG FRIDMAN AB",1,"NZ000047","NOZZLE D.1.10  37603 A",25,71,64,1791
26/01/26,"26",43,4,"ONA ELECTROEROSI�S.A.",1,"EE000004","POLEA CER�A",6,83,36,500,16
26/01/26,"26",43,4,"ONA ELECTROEROSI�S.A.",3,"EE000001","TUBO INTERIOR SUPERIOR AF25",5,32,78,163,9
26/01/26,"26",43,4,"ONA ELECTROEROSI�S.A.",5,"EE000003","GU� ROZAMIENTO DE HILO",10,44,12,441,2
26/01/26,"26",43,4,"ONA ELECTROEROSI�S.A.",7,"EE000002","CONO ACHAFLANADO ANCHO",10,45,08,450,8
26/01/26,"26",44,59,"KG FRIDMAN AB",1,"KG000068","SUPPORT BLOCK D32100123406 GPI",2,499,15,998,3
26/01/26,"26",45,123,"GESTAMP SOFEDIT SERMAISES",1,"WP000432","SOFED SERM PIL HYB FEMELLE 09726043",10,71,37,713,7
26/01/26,"26",46,66,"UNIVERSIDADE DE AVEIRO",2,"ML000015","KAB-6050",10,46,1,461
26/01/26,"26",46,66,"UNIVERSIDADE DE AVEIRO",5,"ML000034","KAT-15065",5,148,2,741
26/01/26,"26",46,66,"UNIVERSIDADE DE AVEIRO",8,"ML000079","BAD-87",2,93,4,186,8
26/01/26,"26",46,66,"UNIVERSIDADE DE AVEIRO",11,"ML000012","KAP-60",10,24,1,241
26/01/26,"26",46,66,"UNIVERSIDADE DE AVEIRO",12,"ML000091","KAPT-150",5,58,23,291,15
26/01/26,"26",46,66,"UNIVERSIDADE DE AVEIRO",13,"ML000080","BADT-87",2,32,11,64,22
26/01/26,"26",47,334,"HIPERBARIC S.A.",1,"HIP00035","CASQUILL EN T COND H02-038-17-0015C",3,315,51,946,53
26/01/26,"26",48,470,"MAGNA SEATING VIGO S.A.U.",1,"WP000696","MAGNA VIGO CENT. M10 PATA 41-40-009",5,90,89,454,45
27/01/26,"26",49,379,"GESTAMP BRASIL IND�RIA DE AUTOPE�S SA",1,"WP000469","GESTAMP S.ISABEL  M6 V75FIX8276",24,73,66,1767,84
27/01/26,"26",52,211,"CHEVAL FR�ES S.A.",1,"CA000028","CHEVAL PISTON ARRI�E17CT0178 IND D",500,60,71,30355
27/01/26,"26",52,211,"CHEVAL FR�ES S.A.",9,"CA000030","CHEVAL PISTON AVANT 17CT0179 IND D",500,43,6,21800
27/01/26,"26",52,211,"CHEVAL FR�ES S.A.",17,"CA000031","CHEVAL PISTON 17CT0180 IND D",250,85,84,21460
27/01/26,"26",52,211,"CHEVAL FR�ES S.A.",23,"CA000032","CHEVAL PISTON 17CT0181 IND D",150,66,08,9912
29/01/26,"26",50,339,"GALICIA AUTOESTAMPACI�S.A.U.",1,"WP000379","GAESA CENTRADOR M6",20,44,54,890,8
29/01/26,"26",50,339,"GALICIA AUTOESTAMPACI�S.A.U.",3,"WP000380","GAESA CENTRADOR M8 KZY1000",20,47,39,947,8
29/01/26,"26",50,339,"GALICIA AUTOESTAMPACI�S.A.U.",6,"WP000784","GAESA CENTRADOR M6 NC-2",1,0,0
29/01/26,"26",51,158,"CERN",1,"CE000091","CERAMIC HYBRID COMBINE SPSACTFL0267",30,79,92,2397,6
30/01/26,"26",53,138,"LA FARGA YOURCOPPERSOLUTIONS, S.A.",1,"LF000006","GU� ANTERIOR �0mm 4EL.319930B/3",4,188,58,754,32
03/02/26,"26",54,470,"MAGNA SEATING VIGO S.A.U.",1,"WP000738","MAGNA VIGO  CENTR. TUERCAS MARCA_1",5,88,83,444,15
03/02/26,"26",55,59,"KG FRIDMAN AB",1,"IN000027","SCIENTA LENS INSULATOR 18886 Rev. A",52,54,35,2826,2
03/02/26,"26",58,460,"I-TEN SA",2,"ML000083","KAB-5040",2,27,8,55,6
03/02/26,"26",58,460,"I-TEN SA",5,"ML000033","KAT-10045",4,76,304
03/02/26,"26",58,460,"I-TEN SA",6,"ML000038","KAT-280180",2,492,64,985,28
03/02/26,"26",58,460,"I-TEN SA",7,"ML000037","KAT-20090/40",3,301,11,903,33
03/02/26,"26",58,460,"I-TEN SA",10,"ML000010","KAP-50",2,21,38,42,76
03/02/26,"26",58,460,"I-TEN SA",11,"ML000040","KAPT-100",4,42,55,170,2
04/02/26,"26",56,127,"BENTELER AUTOMOTIVE VIGO, S.L.",1,"WP000186","BENTELER VIGO PILAR B K9_",50,52,75,2637,5
04/02/26,"26",57,4,"ONA ELECTROEROSI�S.A.",1,"EE000005","SOPORTE NIVELADOR AISLANTE AV35",6,161,64,969,84
04/02/26,"26",62,59,"KG FRIDMAN AB",1,"NZ000059","CONJET NOZZLE D.3,00mm 3312 2574 30",25,61,43,1535,75
05/02/26,"26",59,491,"BOSCO TECNOINDUSTRIA S. L.",1,"WP000764","BOSCO PIN B241304111_A KZY",6,82,18,493,08
05/02/26,"26",60,5,"CSIC",2,"ML000084","KAE-11040/20",4,109,7,438,8
