order_reference,order_document_number,delivery_reference,delivery_document_number,invoice_reference,invoice_document_number,client_name,operational_status,document_status,confidence,matching_rule,notes
26_50,26_50,49,49,26_50,N 13,GALICIA AUTOESTAMPACIÓN,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_50,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_51,26_51,141,141,26_51,EX 19,CERN,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_51,client_exact,delivery_files=1,delivery_multi_refs=3 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_52,26_52,,,,,CHEVAL FRÈRES,confirmed,,,order_only,order_files=1
26_53,26_53,,,,,LA FARGA YOURCOPPER SOLUTIONS,confirmed,,,order_only,order_files=1
26_54,26_54,,,,,MAGNA SEATING VIGO,confirmed,,,order_only,order_files=1 | ambiguous_delivery_candidates=2 | ambiguous_plan=delivery
26_55,26_55,,,,,SCIENTA OMICRON AB,confirmed,,,order_only,order_files=1
26_56,26_56,,,,,BENTELER VIGO,confirmed,,,order_only,order_files=1 | ambiguous_delivery_candidates=2 | ambiguous_plan=delivery
26_57,26_57,95,95,26_57,N 27,ONA ELECTROEROSIÓN,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_57,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=1,invoice_files=1,invoice_status=accepted"
26_58,26_58,56,56,26_58,IC 19,TEN SA,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_58,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_59,26_59,91,91,,,BOSCO TECNOINDUSTRIA SL,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | ambiguous_invoice_candidates=4 | matched_ref=26_59,client_exact,delivery_files=1,delivery_multi_refs=2"
26_6,26_6,8,8,26_6,N 1,TECNALIA RESEARCH,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_partial_ref,"order_files=1 | matched_ref=26_6,client_exact,delivery_files=1,delivery_multi_refs=2 | client_normalized_subset,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_60,26_60,,,,,CSICpdf,confirmed,,,order_only,order_files=1
26_61,26_61,119,119,,,S. OLOFSTRÖM,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_61,client_exact,delivery_files=1,delivery_multi_refs=3"
26_62,26_62,,,,,CONJET AB,confirmed,,,order_only,order_files=1
26_63,26_63,,,,,VARAS HARD METAL,confirmed,,,order_only,order_files=1
26_64,26_64,,,,,ONA ELECTROEROSIÓN,confirmed,,,order_only,order_files=1
26_65,26_65,,,,,STETTLER SAPHIRE AG,confirmed,,,order_only,order_files=1 | ambiguous_delivery_candidates=2 | ambiguous_plan=delivery
26_66,26_66,,,,,IONIX ADVANCED TECHNOLOGIES Ltd.,confirmed,,,order_only,order_files=1
26_67,26_67,,,,,SHILOH FORSHEDA,confirmed,,,order_only,order_files=1
